114	52495	104.5	40.75	13281	13290	1957	4	2000	12	-41558.7	4384701
115	52533	98.4833	39.7667	14772	14782	1951	1	2000	12	-548545.8	4291599
116	52546	99.8333	39.3667	13322	13329	1952	8	2000	12	-437375.6	4239789
117	52576	101.6833	39.2167	15101	15115	1959	6	2000	12	-281408.7	4216160
118	52602	93.3833	38.8333	27330	27339	1956	9	2000	12	-988622.3	4226040
119	52633	98.4167	38.8	33670	33683	1956	11	2000	12	-561380.4	4182991
120	52645	99.5833	38.4167	31800	31810	1959	2	2000	12	-464372.5	4133722
121	52652	100.4333	38.9333	14827	14839	1951	1	2000	12	-388873.9	4188381
122	52657	100.25	38.1833	27874	27885	1956	5	2000	12	-408524.7	4104444
123	52661	101.0833	38.8	17646	17659	1952	10	2000	12	-334148.8	4170964
124	52674	101.9667	38.2333	19761	19765	1958	4	2000	12	-260766.1	4104305
125	52679	102.6667	37.9167	15309	15319	1951	1	2000	12	-201442	4066900
126	52681	103.0833	38.6333	13670	13685	1953	1	2000	12	-163917.1	4147114
127	52707	93.6833	36.8	27670	27680	1960	6	2000	12	-989346	3994741
128	52713	95.3667	37.85	31732	31742	1956	5	2000	12	-831180.3	4097350
129	52737	97.3667	37.3667	29815	29824	1955	8	2000	12	-663197.8	4027865
130	52754	100.1333	37.3333	33015	33024	1957	7	2000	12	-423261.8	4008958
131	52765	101.6167	37.3833	27076	27076	1956	10	2000	12	-294117.4	4009246
132	52787	102.8667	37.2	30451	30439	1951	1	2000	12	-185919.2	3985510
133	52788	104.05	37.1833	27267	27281	1955	11	1988	12	-82816.3	3982020
134	52797	104.05	37.1833	16305	16314	1956	11	2000	12	-82816.3	3982020
135	52818	94.9	36.4167	28076	28085	1955	4	2000	12	-887767	3940161
136	52825	96.4167	36.4333	27904	27914	1956	6	2000	12	-754652.2	3929484
137	52833	98.48333333	36.91666667	79500	79500	2001	1	2007	12	532407.29	2887907.23
138	52836	98.1	36.3	31911	31921	1954	1	2000	12	-607968.9	3902910
139	52842	99.0833	36.7833	30876	30887	1955	6	2000	12	-518186.4	3951851
140	52856	100.6167	36.2667	28350	28360	1953	1	2000	12	-386570.5	3886546
141	52866	101.7667	36.6167	22612	22622	1954	1	2000	12	-283904	3922196
142	52868	101.4333	36.0333	22371	22381	1956	11	2000	12	-315535.5	3857299
143	52876	102.85	36.3167	18139	18148	1956	10	2000	12	-189536.6	3885714
144	52884	103.9333333	36.35	16685	16685	2004	1	2007	12	703215.11	2911783.70
145	52889	103.8833	36.05	15172	15183	1951	1	2000	12	-98789	3854074
146	52895	104.6833	36.5667	13982	13993	1951	1	2000	12	-27831.5	3911965
147	52908	93.0833	35.2167	46122	46142	1956	10	2000	12	-1062981	3823228
148	52943	99.9833	35.5833	33232	33243	1960	1	2000	12	-446287.6	3812055
149	52955	100.75	35.5833	32029	32029	1999	1	2000	12	-378127	3808872
150	52957	100.65	35.2667	32894	32904	1954	2	1998	12	-388585.2	3773520
